epochs, EmbeddingSimilarity,nll-test,
1,-0.20874154397315922,2.9534926,
6,-1.105472525150208,1.6578939,
11,-0.30161962509849627,1.3606453,
16,-0.6174893966559062,1.2639825,
21,-0.40518662870545,1.2287531,
26,-0.36085256078365857,1.2158982,
31,-0.4608049606980778,1.2069764,
36,-0.31747462543152427,1.1946769,
41,-0.3846907826048204,1.1820817,
46,-0.42241700265227045,1.1758462,
51,-0.326560529248597,1.1719522,
56,-0.3292098091512616,1.1680508,
61,-0.35591616708937895,1.1638527,
66,-0.3410077534748396,1.1598197,
71,-0.24211645292259557,1.1534071,
76,-0.21508756498983472,1.1460388,
81,-0.3170954982530888,1.141962,
86,-0.28006288707956106,1.1355236,
91,-0.2781276500112519,1.1254,
96,-0.3027137855413023,1.1168671,
101,-0.27767741132349044,1.1769363,
106,-0.28418930413209564,1.6262903,
111,-0.23830999683413245,1.3911043,
116,-0.2446677769636883,1.3495424,
121,-0.2593638196045348,1.3603914,
126,-0.2668316652687644,1.358055,
131,-0.38768183900065745,1.3274056,
136,-0.3479359358434917,1.3250712,
141,-0.3277326644531889,1.2993245,
146,-0.24280241764259272,1.2616999,
151,-0.26685835529523644,1.4235823,
156,-0.3322500968683166,1.8564091,
161,-0.22469498986118638,2.020856,
166,-0.3413747735517398,2.0110314,
171,-0.36424076658914545,1.8587477,
176,-0.3042415798508813,1.6584554,
181,-0.28423645748830867,1.5677555,
186,-0.32409548987691994,1.4828522,
191,-0.2441812396644844,1.4050477,
196,-0.31363235280670115,1.375265,
201,-0.3139283278490953,1.3522669,
206,-0.2305071272897707,1.3270717,
211,-0.21385959876804828,1.3127187,
216,-0.22915597096185605,1.3085341,
221,-0.23431228329816536,1.3099102,
226,-0.21507972808753845,1.314973,
231,-0.23229973537633347,1.3170973,
236,-0.22431430234007685,1.3114067,
241,-0.18137730899750398,1.2960012,
246,-0.23431949825390844,1.2775273,
251,-0.29296590077434537,1.2719724,
256,-0.2694760694095403,1.2670923,
261,-0.2962544366659664,1.2643532,
266,-0.34005333893468137,1.2528813,
271,-0.29410635060643125,1.2560394,
276,-0.23912285890848892,1.263365,
281,-0.20864960678911929,1.2662593,
286,-0.24000134386167016,1.2651712,
291,-0.29464635614142354,1.2625103,
296,-0.26594903161909117,1.2603922,
301,-0.25970783431577193,1.2581441,
306,-0.2050946986886555,1.255691,
311,-0.23561612764980025,1.2539966,
316,-0.30341418011413873,1.2522188,
321,-0.25227240755690894,1.2517134,
326,-0.3519017412838849,1.2508708,
331,-0.289778135160359,1.2498715,
336,-0.2759089115099609,1.2473545,
341,-0.21859714615222933,1.2461016,
346,-0.3067282828457605,1.245474,
350,-0.26484331418835777,1.2462842,
